_,__0_0_0_0
difficult,D_15_1_17_2_0
difrnt,D_15_14_11_2_0
digital,D_13_2_17_0_0
digree,D_13_14_0_0_0
dii,D_0_0_0_0
dijye,D_4_0_0_0_0
dik,D_7_0_0_0_0
dikh,D_6_0_0_0_0
dikha,D_6_0_0_0_0
dikhai,D_6_0_0_0_0
dikhana,D_6_11_0_0_0
dikhane,D_6_11_0_0_0
dikhany,D_6_11_0_0_0
dikhao,D_6_0_0_0_0
dikhata,D_6_2_0_0_0
dikhate,D_6_2_0_0_0
dikhati,D_6_2_0_0_0
dikhaya,D_6_0_0_0_0
dikhaye,D_6_0_0_0_0
dikhayen,D_6_11_0_0_0
dikhayenge,D_6_11_13_0_0
dikhe,D_6_0_0_0_0
dikhiye,D_6_0_0_0_0
dikhta,D_6_2_0_0_0
dikhte,D_6_2_0_0_0
dikhty,D_6_2_0_0_0
dil,D_17_0_0_0_0
dila,D_17_0_0_0_0
dilaana,D_17_11_0_0_0
dilaany,D_17_11_0_0_0
dilana,D_17_11_0_0_0
dilasy,D_17_1_0_0_0
dilate,D_17_2_0_0_0
dilaya,D_17_0_0_0_0
dilbar,D_17_9_14_0_0
dill,D_17_0_0_0_0
dilli,D_17_0_0_0_0
dilo,D_17_0_0_0_0
dilwa,D_17_18_0_0_0
dilwai,D_17_18_0_0_0
dilwaya,D_17_18_0_0_0
dimaag,D_12_13_0_0_0
dimaagh,D_12_26_0_0_0
dimag,D_12_13_0_0_0
dimagh,D_12_26_0_0_0
dimaghi,D_12_26_0_0_0
dimgh,D_12_26_0_0_0
dino,D_11_0_0_0_0
dinon,D_11_11_0_0_0
direct,D_14_1_2_0_0
directly,D_14_1_2_17_0
director,D_14_1_2_14_0
dirty,D_14_2_0_0_0
disable,D_1_9_17_0_0
disappoint,D_1_10_11_2_0
disappointed,D_1_10_11_2_8
discharge,D_1_5_14_13_0
discipline,D_1_1_10_17_11
discuss,D_1_1_1_0_0
discussing,D_1_1_1_11_13
discussion,D_1_1_1_11_0
disrespect,D_1_14_1_10_1
district,D_1_2_14_1_2
distrub,D_1_2_14_9_0
disturb,D_1_2_14_9_0
diverging,DV_14_13_11_13
divide,DV_8_0_0_0
diwaar,D_18_14_0_0_0
diwana,D_18_11_0_0_0
diy,D_0_0_0_0
diya,D_0_0_0_0
diyaa,D_0_0_0_0
diye,D_0_0_0_0
dkha,D_6_0_0_0_0
dkhi,D_6_0_0_0_0
dkho,D_6_0_0_0_0
dlete,D_17_2_0_0_0
dmaag,D_12_13_0_0_0
dnt,D_11_2_0_0_0
dny,D_11_0_0_0_0
do,D_0_0_0_0
doar,D_14_0_0_0_0
dobara,D_9_14_0_0_0
dobi,D_9_0_0_0_0
dobo,D_9_0_0_0_0
doctor,D_1_2_14_0_0
doctors,D_1_2_14_1_0
does,D_1_0_0_0_0
doga,D_13_0_0_0_0
doggy,D_13_0_0_0_0
dogy,D_13_0_0_0_0
dohndty,D_19_11_8_2_0
dohrai,D_19_14_0_0_0
doing,D_11_13_0_0_0
dokha,D_6_0_0_0_0
dollar,D_17_14_0_0_0
dollor,D_17_14_0_0_0
domestic,D_12_1_2_1_0
don,D_11_0_0_0_0
donga,D_11_13_0_0_0
donkey,D_11_7_0_0_0
donno,D_11_0_0_0_0
dono,D_11_0_0_0_0
donon,D_11_11_0_0_0
donor,D_11_14_0_0_0
donot,D_11_2_0_0_0
dont,D_11_2_0_0_0
donu,D_11_0_0_0_0
doo,D_0_0_0_0
doob,D_9_0_0_0_0
doobey,D_9_0_0_0_0
doobne,D_9_11_0_0_0
doobo,D_9_0_0_0_0
dood,D_8_0_0_0_0
doodh,D_24_0_0_0_0
doon,D_11_0_0_0_0
doonga,D_11_13_0_0_0
dooor,D_14_0_0_0_0
door,D_14_0_0_0_0
doosray,D_1_14_0_0_0
doosre,D_1_14_0_0_0
doosro,D_1_14_0_0_0
doosron,D_1_14_11_0_0
doosry,D_1_14_0_0_0
dor,D_14_0_0_0_0
doran,D_14_11_0_0_0
dosra,D_1_14_0_0_0
dosray,D_1_14_0_0_0
dosre,D_1_14_0_0_0
dosrey,D_1_14_0_0_0
dosri,D_1_14_0_0_0
dosro,D_1_14_0_0_0
dosron,D_1_14_11_0_0
dosrun,D_1_14_11_0_0
dosry,D_1_14_0_0_0
dost,D_1_2_0_0_0
dosti,D_1_2_0_0_0
dosto,D_1_2_0_0_0
doston,D_1_2_11_0_0
dostoo,D_1_2_0_0_0
double,D_9_17_0_0_0
doubt,D_9_2_0_0_0
doun,D_11_0_0_0_0
down,D_18_11_0_0_0
download,D_18_11_17_8_0
dozakh,D_3_6_0_0_0
dr,D_14_0_0_0_0
dra,D_14_0_0_0_0
dramay,D_14_12_0_0_0
drame,D_14_12_0_0_0
dramy,D_14_12_0_0_0
drbar,D_14_9_14_0_0
drd,D_14_8_0_0_0
dream,D_14_12_0_0_0
dreaming,D_14_12_11_13_0
dreams,D_14_12_1_0_0
dressing,D_14_1_11_13_0
drink,D_14_11_7_0_0
drinking,D_14_11_7_11_13
drive,D_14V_0_0_0
driver,D_14V_14_0_0
driving,D_14V_11_13_0
drmyan,D_14_12_11_0_0
drna,D_14_11_0_0_0
drone,D_14_11_0_0_0
drop,D_14_10_0_0_0
drr,D_14_0_0_0_0
drunk,D_14_11_7_0_0
drust,D_14_1_2_0_0
dry,D_14_0_0_0_0
dsron,D_1_14_11_0_0
dta,D_2_0_0_0_0
du,D_0_0_0_0
dua,D_0_0_0_0
duaaon,D_11_0_0_0_0
duae,D_0_0_0_0
duaein,D_11_0_0_0_0
duaien,D_11_0_0_0_0
duain,D_11_0_0_0_0
duao,D_0_0_0_0
duaon,D_11_0_0_0_0
duaoun,D_11_0_0_0_0
dub,D_9_0_0_0_0
dubai,D_9_0_0_0_0
dubara,D_9_14_0_0_0
duck,D_1_7_0_0_0
duct,D_1_2_0_0_0
dude,D_8_0_0_0_0
dudh,D_24_0_0_0_0
duffer,D_15_14_0_0_0
dukaan,D_7_11_0_0_0
dukan,D_7_11_0_0_0
dukh,D_6_0_0_0_0
dukhi,D_6_0_0_0_0
dukhti,D_6_2_0_0_0
dulha,D_17_19_0_0_0
dulhaan,D_17_19_11_0_0
dulhan,D_17_19_11_0_0
dum,D_12_0_0_0_0
dumb,D_12_9_0_0_0
dumbo,D_12_9_0_0_0
dunga,D_11_13_0_0_0
dungi,D_11_13_0_0_0
dunia,D_11_0_0_0_0
duniya,D_11_0_0_0_0
dunya,D_11_0_0_0_0
dupatta,D_10_2_0_0_0
dur,D_14_0_0_0_0
duration,D_14_2_11_0_0
during,D_14_11_13_0_0
durust,D_14_1_2_0_0
dushman,D_1_12_11_0_0
dushmani,D_1_12_11_0_0
dushmano,D_1_12_11_0_0
dushmn,D_1_12_11_0_0
dushmni,D_1_12_11_0_0
dusman,D_1_12_11_0_0
dusra,D_1_14_0_0_0
dusray,D_1_14_0_0_0
dusre,D_1_14_0_0_0
dusri,D_1_14_0_0_0
dusro,D_1_14_0_0_0
dusron,D_1_14_11_0_0
dusry,D_1_14_0_0_0
duuri,D_14_0_0_0_0
duwa,D_18_0_0_0_0
dya,D_0_0_0_0
dyga,D_13_0_0_0_0
dyin,D_11_0_0_0_0
dying,D_11_13_0_0_0
dykh,D_6_0_0_0_0
dyn,D_11_0_0_0_0
dyna,D_11_0_0_0_0
dyne,D_11_0_0_0_0
dyta,D_2_0_0_0_0
dyty,D_2_0_0_0_0
each,E_5_0_0_0_0
early,E_14_17_0_0_0
easily,E_1_17_0_0_0
easy,E_1_0_0_0_0
eat,E_2_0_0_0_0
eating,E_2_11_13_0_0
ebadat,E_9_8_2_0_0
edi,E_8_0_0_0_0
edr,E_8_14_0_0_0
educated,E_8_1_2_8_0
education,E_8_1_2_11_0
ee,E_0_0_0_0
eee,E_0_0_0_0
eeman,E_12_11_0_0_0
eesa,E_1_0_0_0_0
effect,E_15_1_2_0_0
effective,E_15_1_2V_0
effort,E_15_14_2_0_0
eg,E_13_0_0_0_0
eh,E_19_0_0_0_0
eha,E_19_0_0_0_0
ehd,E_19_8_0_0_0
ehliyat,E_19_17_2_0_0
ehm,E_19_12_0_0_0
ehsan,E_19_1_11_0_0
eid,E_8_0_0_0_0
eidi,E_8_0_0_0_0
eik,E_7_0_0_0_0
ein,E_11_0_0_0_0
eisa,E_1_0_0_0_0
either,E_22_14_0_0_0
ejaz,E_4_3_0_0_0
ek,E_7_0_0_0_0
ekdum,E_7_8_12_0_0
elaaj,E_17_4_0_0_0
elaan,E_17_11_0_0_0
elaj,E_17_4_0_0_0
elaka,E_17_7_0_0_0
elastic,E_17_1_2_1_0
elava,E_17V_0_0_0
elawa,E_17_18_0_0_0
elected,E_17_1_2_8_0
election,E_17_1_2_11_0
electricity,E_17_1_2_14_1
em,E_12_0_0_0_0
emaan,E_12_11_0_0_0
eman,E_12_11_0_0_0
embassador,E_12_9_1_8_14
embassy,E_12_9_1_0_0
emergency,E_12_14_13_11_1
emotional,E_12_2_11_17_0
emotionally,E_12_2_11_17_0
emotions,E_12_2_11_1_0
employee,E_12_10_17_0_0
ending,E_11_8_11_13_0
enemy,E_11_12_0_0_0
engaged,E_11_13_13_8_0
engagement,E_11_13_13_12_11
engineer,E_11_13_11_14_0
engineering,E_11_13_11_14_11
engineers,E_11_13_11_14_1
england,E_11_13_17_11_8
english,E_11_13_17_1_0
engr,E_11_13_14_0_0
enjoy,E_11_4_0_0_0
enjoying,E_11_4_11_13_0
enjoys,E_11_4_1_0_0
enko,E_11_7_0_0_0
enough,E_11_26_0_0_0
enter,E_11_2_14_0_0
entertainment,E_11_2_14_2_11
entire,E_11_2_14_0_0
entry,E_11_2_14_0_0
environment,E_11V_14_11_12
episode,E_10_1_8_0_0
equal,E_7_17_0_0_0
equally,E_7_17_0_0_0
er,E_14_0_0_0_0
era,E_14_0_0_0_0
eraser,E_14_1_14_0_0
eri,E_14_0_0_0_0
esa,E_1_0_0_0_0
esai,E_1_0_0_0_0
esay,E_1_0_0_0_0
escape,E_1_1_10_0_0
ese,E_1_0_0_0_0
esi,E_1_0_0_0_0
eska,E_1_7_0_0_0
eski,E_1_7_0_0_0
especially,E_1_10_1_17_0
ess,E_1_0_0_0_0
essy,E_1_0_0_0_0
esy,E_1_0_0_0_0
etc,E_2_1_0_0_0
etna,E_2_11_0_0_0
etne,E_2_11_0_0_0
etraz,E_2_14_3_0_0
europe,E_14_10_0_0_0
even,EV_11_0_0_0
evening,EV_11_11_13_0
ever,EV_14_0_0_0
every,EV_14_0_0_0
everybody,EV_14_9_8_0
everyday,EV_14_8_0_0
everyone,EV_14_11_0_0
everything,EV_14_22_11_13
everytime,EV_14_2_12_0
everywhere,EV_14_18_19_14
evil,EV_17_0_0_0
exactly,E_3_1_2_17_0
exam,E_3_12_0_0_0
example,E_3_12_10_17_0
examples,E_3_12_10_17_1
exams,E_3_12_1_0_0
excellent,E_3_1_17_11_2
except,E_3_1_10_2_0
excited,E_3_1_2_8_0
excitement,E_3_1_2_12_11
exclusive,E_3_1_17_1V
excuse,E_3_1_1_0_0
exercise,E_3_14_1_1_0
exist,E_3_1_2_0_0
expect,E_3_10_1_2_0
expecting,E_3_10_1_2_11
expensive,E_3_10_11_1V
experience,E_3_10_14_11_1
experienced,E_3_10_14_11_1
expert,E_3_10_14_2_0
expire,E_3_10_14_0_0
expired,E_3_10_14_8_0
explain,E_3_10_17_11_0
explanation,E_3_10_17_11_2
exposed,E_3_10_1_8_0
exposing,E_3_10_1_11_13
express,E_3_10_14_1_0
expression,E_3_10_14_1_11
extension,E_3_2_11_1_11
extra,E_3_2_14_0_0
extraordinary,E_3_2_14_14_8
extreme,E_3_2_14_12_0
extremist,E_3_2_14_12_1
ey,E_0_0_0_0
eye,E_0_0_0_0
eyes,E_0_1_0_0_0
faasla,F_1_17_0_0_0
face,F_1_0_0_0_0
facebook,F_1_9_7_0_0
facility,F_1_17_2_0_0
fact,F_1_2_0_0_0
factor,F_1_2_14_0_0
factory,F_1_2_14_0_0
facts,F_1_2_1_0_0
fahad,F_19_8_0_0_0
fahashi,F_19_1_0_0_0
faida,F_8_0_0_0_0
fail,F_17_0_0_0_0
failed,F_17_8_0_0_0
failure,F_17_14_0_0_0
fair,F_14_0_0_0_0
faisal,F_1_17_0_0_0
faisalabadi,F_1_17_9_8_0
faisla,F_1_17_0_0_0
faiz,F_3_0_0_0_0
fajar,F_4_14_0_0_0
fake,F_7_0_0_0_0
fakeer,F_7_14_0_0_0
fakeeri,F_7_14_0_0_0
fakhar,F_6_14_0_0_0
fakhr,F_6_14_0_0_0
falling,F_17_11_13_0_0
fallow,F_17_18_0_0_0
falsafa,F_17_1_15_0_0
faltu,F_17_2_0_0_0
fam,F_12_0_0_0_0
fame,F_12_0_0_0_0
family,F_12_17_0_0_0
famous,F_12_1_0_0_0
fan,F_11_0_0_0_0
fana,F_11_0_0_0_0
fanaa,F_11_0_0_0_0
fani,F_11_0_0_0_0
fankaar,F_11_7_14_0_0
fans,F_11_1_0_0_0
fantastic,F_11_2_1_2_1
fany,F_11_0_0_0_0
faqeer,F_7_14_0_0_0
far,F_14_0_0_0_0
farah,F_25_0_0_0_0
farak,F_14_7_0_0_0
faraq,F_14_7_0_0_0
farar,F_14_14_0_0_0
fard,F_14_8_0_0_0
fareb,F_14_9_0_0_0
farewell,F_14_18_17_0_0
farhan,F_25_11_0_0_0
farigh,F_14_26_0_0_0
fariq,F_14_7_0_0_0
farishta,F_14_1_2_0_0
fark,F_14_7_0_0_0
farma,F_14_12_0_0_0
farmae,F_14_12_0_0_0
farman,F_14_12_11_0_0
farmay,F_14_12_0_0_0
farmaya,F_14_12_0_0_0
farmaye,F_14_12_0_0_0
farmya,F_14_12_0_0_0
farooq,F_14_7_0_0_0
farq,F_14_7_0_0_0
faryaad,F_14_8_0_0_0
faryad,F_14_8_0_0_0
farz,F_14_3_0_0_0
farzi,F_14_3_0_0_0
fasaad,F_1_8_0_0_0
fasad,F_1_8_0_0_0
fasla,F_1_17_0_0_0
fassad,F_1_8_0_0_0
fast,F_1_2_0_0_0
fat,F_2_0_0_0_0
fatah,F_22_0_0_0_0
fate,F_2_0_0_0_0
fateh,F_22_0_0_0_0
father,F_22_14_0_0_0
fatima,F_2_12_0_0_0
fatwa,F_2_18_0_0_0
fauj,F_4_0_0_0_0
fault,F_17_2_0_0_0
fav,FV_0_0_0_0
favor,FV_14_0_0_0
favorite,FV_14_2_0_0
favourite,FV_14_2_0_0
fawad,F_18_8_0_0_0
fawara,F_18_14_0_0_0
fayda,F_8_0_0_0_0
fayde,F_8_0_0_0_0
fayeda,F_8_0_0_0_0
fazal,F_3_17_0_0_0
fazlu,F_3_17_0_0_0
fazlur,F_3_17_14_0_0
fazol,F_3_17_0_0_0
fazool,F_3_17_0_0_0
fazul,F_3_17_0_0_0
fck,F_1_7_0_0_0
fear,F_14_0_0_0_0
feb,F_9_0_0_0_0
february,F_9_14_14_0_0
fed,F_8_0_0_0_0
federal,F_8_14_17_0_0
feel,F_17_0_0_0_0
feeling,F_17_11_13_0_0
feelings,F_17_11_13_1_0
fees,F_1_0_0_0_0
feet,F_2_0_0_0_0
fehmi,F_19_12_0_0_0
fellow,F_17_18_0_0_0
felt,F_17_2_0_0_0
female,F_12_17_0_0_0
fer,F_14_0_0_0_0
fermaey,F_14_12_0_0_0
fermay,F_14_12_0_0_0
few,F_18_0_0_0_0
ff,F_0_0_0_0
fiction,F_1_2_11_0_0
fida,F_8_0_0_0_0
field,F_17_8_0_0_0
fight,F_26_2_0_0_0
fighter,F_26_2_14_0_0
fighting,F_26_2_11_13_0
figure,F_13_14_0_0_0
fikar,F_7_14_0_0_0
fikr,F_7_14_0_0_0
filhal,F_17_19_17_0_0
film,F_17_12_0_0_0
filmo,F_17_12_0_0_0
filmon,F_17_12_11_0_0
films,F_17_12_1_0_0
filter,F_17_2_14_0_0
final,F_11_17_0_0_0
financial,F_11_11_1_17_0
find,F_11_8_0_0_0
finding,F_11_8_11_13_0
fine,F_11_0_0_0_0
finish,F_11_1_0_0_0
finished,F_11_1_8_0_0
fiqar,F_7_14_0_0_0
fir,F_14_0_0_0_0
firdous,F_14_8_1_0_0
fire,F_14_0_0_0_0
firqay,F_14_7_0_0_0
firqe,F_14_7_0_0_0
first,F_14_1_2_0_0
fisrt,F_1_14_2_0_0
fit,F_2_0_0_0_0
fiteh,F_22_0_0_0_0
fitna,F_2_11_0_0_0
fitnay,F_2_11_0_0_0
fitrat,F_2_14_2_0_0
fittay,F_2_0_0_0_0
fitty,F_2_0_0_0_0
five,FV_0_0_0_0
float,F_17_2_0_0_0
flop,F_17_10_0_0_0
flower,F_17_18_14_0_0
flu,F_17_0_0_0_0
flying,F_17_11_13_0_0
foj,F_4_0_0_0_0
foji,F_4_0_0_0_0
follow,F_17_18_0_0_0
followed,F_17_18_8_0_0
follower,F_17_18_14_0_0
following,F_17_18_11_13_0
fone,F_11_0_0_0_0
food,F_8_0_0_0_0
foods,F_8_1_0_0_0
foolish,F_17_1_0_0_0
fools,F_17_1_0_0_0
foot,F_2_0_0_0_0
for,F_14_0_0_0_0
foran,F_14_11_0_0_0
forced,F_14_1_8_0_0
forever,F_14V_14_0_0
forget,F_14_13_2_0_0
format,F_14_12_2_0_0
forward,F_14_18_14_8_0
fot,F_2_0_0_0_0
fotgi,F_2_13_0_0_0
fouj,F_4_0_0_0_0
found,F_11_8_0_0_0
france,F_14_11_1_0_0
frank,F_14_11_7_0_0
fraud,F_14_8_0_0_0
frd,F_14_8_0_0_0
fre,F_14_0_0_0_0
free,F_14_0_0_0_0
freeze,F_14_3_0_0_0
french,F_14_11_5_0_0
friday,F_14_8_0_0_0
fridge,F_14_8_13_0_0
friend,F_14_11_8_0_0
friends,F_14_11_8_1_0
friendship,F_14_11_8_1_10
frishta,F_14_1_2_0_0
frk,F_14_7_0_0_0
frma,F_14_12_0_0_0
frmaye,F_14_12_0_0_0
frnd,F_14_11_8_0_0
frndship,F_14_11_8_1_10
frndshp,F_14_11_8_1_10
frog,F_14_13_0_0_0
from,F_14_12_0_0_0
front,F_14_11_2_0_0
fruit,F_14_2_0_0_0
fuck,F_1_7_0_0_0
fucked,F_1_7_8_0_0
fucker,F_1_7_14_0_0
fuckin,F_1_7_11_0_0
fucking,F_1_7_11_13_0
fuel,F_17_0_0_0_0
ful,F_17_0_0_0_0
full,F_17_0_0_0_0
fun,F_11_0_0_0_0
functions,F_11_1_2_11_1
fundamental,F_11_8_12_11_2
funniest,F_11_1_2_0_0
funny,F_11_0_0_0_0
fur,F_14_0_0_0_0
fursat,F_14_1_2_0_0
further,F_14_22_14_0_0
fut,F_2_0_0_0_0
future,F_2_14_0_0_0
fuzool,F_3_17_0_0_0
fvrt,FV_14_2_0_0
fyt,F_2_0_0_0_0
fzol,F_3_17_0_0_0
g,G_0_0_0_0
ga,G_0_0_0_0
gaa,G_0_0_0_0
gaaa,G_0_0_0_0
gaajar,G_4_14_0_0_0
gaali,G_17_0_0_0_0
gaaliya,G_17_0_0_0_0
gaaliyan,G_17_11_0_0_0
gaana,G_11_0_0_0_0
gaand,G_11_8_0_0_0
gaandu,G_11_8_0_0_0
gaay,G_0_0_0_0
gaddari,G_8_14_0_0_0
gadha,G_24_0_0_0_0
gadhay,G_24_0_0_0_0
gadhe,G_24_0_0_0_0
gadhi,G_24_0_0_0_0
gadi,G_8_0_0_0_0
gaeb,G_9_0_0_0_0
gaey,G_0_0_0_0
gahr,G_19_14_0_0_0
gahtiya,G_19_2_0_0_0
gai,G_0_0_0_0
gain,G_11_0_0_0_0
gair,G_14_0_0_0_0
gairon,G_14_11_0_0_0
gajar,G_4_14_0_0_0
gala,G_17_0_0_0_0
galat,G_17_2_0_0_0
gale,G_17_0_0_0_0
gali,G_17_0_0_0_0
galia,G_17_0_0_0_0
galian,G_17_11_0_0_0
galio,G_17_0_0_0_0
galiya,G_17_0_0_0_0
galiyaan,G_17_11_0_0_0
galiyan,G_17_11_0_0_0
galoch,G_17_5_0_0_0
galt,G_17_2_0_0_0
galti,G_17_2_0_0_0
galy,G_17_0_0_0_0
galyan,G_17_11_0_0_0
game,G_12_0_0_0_0
games,G_12_1_0_0_0
gana,G_11_0_0_0_0
ganay,G_11_0_0_0_0
gand,G_11_8_0_0_0
ganda,G_11_8_0_0_0
gandaa,G_11_8_0_0_0
gandagi,G_11_8_13_0_0
ganday,G_11_8_0_0_0
gande,G_11_8_0_0_0
gandgi,G_11_8_13_0_0
gandh,G_11_24_0_0_0
gandhi,G_11_24_0_0_0
gandi,G_11_8_0_0_0
gando,G_11_8_0_0_0
gandoo,G_11_8_0_0_0
gandooo,G_11_8_0_0_0
gandu,G_11_8_0_0_0
ganduo,G_11_8_0_0_0
gandy,G_11_8_0_0_0
gang,G_11_13_0_0_0
ganja,G_11_4_0_0_0
ganjay,G_11_4_0_0_0
ganje,G_11_4_0_0_0
ganjy,G_11_4_0_0_0
ganwaar,G_11_18_14_0_0
ganwar,G_11_18_14_0_0
gao,G_0_0_0_0
gaon,G_11_0_0_0_0
gaoo,G_0_0_0_0
garam,G_14_12_0_0_0
garbage,G_14_9_13_0_0
garbar,G_14_9_14_0_0
gardan,G_14_8_11_0_0
gareeb,G_14_9_0_0_0
garh,G_25_0_0_0_0
gari,G_14_0_0_0_0
garib,G_14_9_0_0_0
gark,G_14_7_0_0_0
garm,G_14_12_0_0_0
garmi,G_14_12_0_0_0
garon,G_14_11_0_0_0
garoor,G_14_14_0_0_0
gas,G_1_0_0_0_0
gashti,G_1_2_0_0_0
gata,G_2_0_0_0_0
gather,G_22_14_0_0_0
gatya,G_2_0_0_0_0
gau,G_0_0_0_0
gaur,G_14_0_0_0_0
gave,GV_0_0_0_0
gawah,G_18_19_0_0_0
gawahi,G_18_19_0_0_0
gawar,G_18_14_0_0_0
gay,G_0_0_0_0
gaya,G_0_0_0_0
gayab,G_9_0_0_0_0
gayain,G_11_0_0_0_0
gayay,G_0_0_0_0
gaye,G_0_0_0_0
gayee,G_0_0_0_0
gayen,G_11_0_0_0_0
gayi,G_0_0_0_0
gazab,G_3_9_0_0_0
gazi,G_3_0_0_0_0
gea,G_0_0_0_0
gee,G_0_0_0_0
geeli,G_17_0_0_0_0
gehra,G_19_14_0_0_0
gehri,G_19_14_0_0_0
gei,G_0_0_0_0
gender,G_11_8_14_0_0
general,G_11_14_17_0_0
generation,G_11_14_2_11_0
genral,G_11_14_17_0_0
gentleman,G_11_2_17_12_11
genuine,G_11_11_0_0_0
gero,G_14_0_0_0_0
get,G_2_0_0_0_0
getting,G_2_11_13_0_0
gey,G_0_0_0_0
geya,G_0_0_0_0
geye,G_0_0_0_0
gha,G_19_0_0_0_0
ghaas,G_19_1_0_0_0
ghabrana,G_19_9_14_11_0
ghadar,G_19_8_14_0_0
ghaddar,G_19_8_14_0_0
ghafoor,G_19_15_14_0_0
ghaib,G_19_9_0_0_0
ghairat,G_19_14_2_0_0
ghairon,G_19_14_11_0_0
ghalat,G_19_17_2_0_0
ghaleez,G_19_17_3_0_0
ghalib,G_19_17_9_0_0
ghalt,G_19_17_2_0_0
ghalti,G_19_17_2_0_0
gham,G_19_12_0_0_0
ghanta,G_19_11_2_0_0
ghantay,G_19_11_2_0_0
ghante,G_19_11_2_0_0
ghanttay,G_19_11_2_0_0
ghanty,G_19_11_2_0_0
ghar,G_19_14_0_0_0
gharak,G_19_14_7_0_0
ghare,G_19_14_0_0_0
ghareeb,G_19_14_9_0_0
ghareebon,G_19_14_9_11_0
gharelo,G_19_14_17_0_0
ghark,G_19_14_7_0_0
gharon,G_19_14_11_0_0
gharor,G_19_14_14_0_0
gharwalo,G_19_14_18_17_0
ghass,G_19_1_0_0_0
ghata,G_19_2_0_0_0
ghatia,G_19_2_0_0_0
ghatiya,G_19_2_0_0_0
ghattiya,G_19_2_0_0_0
ghatya,G_19_2_0_0_0
ghayeb,G_19_9_0_0_0
ghazal,G_19_3_17_0_0
gher,G_19_14_0_0_0
gherat,G_19_14_2_0_0
ghi,G_19_0_0_0_0
ghlti,G_19_17_2_0_0
ghnty,G_19_11_2_0_0
ghom,G_19_12_0_0_0
ghoom,G_19_12_0_0_0
ghoomny,G_19_12_11_0_0
ghor,G_19_14_0_0_0
ghori,G_19_14_0_0_0
ghorra,G_19_14_0_0_0
ghour,G_19_14_0_0_0
ghr,G_19_14_0_0_0
ghreeb,G_19_14_9_0_0
ghro,G_19_14_0_0_0
ghulam,G_19_17_12_0_0
ghulami,G_19_17_12_0_0
ghum,G_19_12_0_0_0
ghumne,G_19_12_11_0_0
ghurbat,G_19_14_9_2_0
ghus,G_19_1_0_0_0
ghusa,G_19_1_0_0_0
ghusal,G_19_1_17_0_0
ghuss,G_19_1_0_0_0
ghussa,G_19_1_0_0_0
gi,G_0_0_0_0
gia,G_0_0_0_0
gift,G_15_2_0_0_0
gin,G_11_0_0_0_0
ginaa,G_11_0_0_0_0
ginti,G_11_2_0_0_0
gir,G_14_0_0_0_0
gira,G_14_0_0_0_0
giraa,G_14_0_0_0_0
girany,G_14_11_0_0_0
gird,G_14_8_0_0_0
gire,G_14_0_0_0_0
giren,G_14_11_0_0_0
giri,G_14_0_0_0_0
girl,G_14_17_0_0_0
girlfriend,G_14_17_15_14_11
girlfriends,G_14_17_15_14_11
girls,G_14_17_1_0_0
girnay,G_14_11_0_0_0
girny,G_14_11_0_0_0
girr,G_14_0_0_0_0
girtay,G_14_2_0_0_0
girvi,G_14V_0_0_0
give,GV_0_0_0_0
given,GV_11_0_0_0
gives,GV_1_0_0_0
giving,GV_11_13_0_0
glamorous,G_17_12_14_1_0
gli,G_17_0_0_0_0
glt,G_17_2_0_0_0
glti,G_17_2_0_0_0
gnd,G_11_8_0_0_0
gnda,G_11_8_0_0_0
gndi,G_11_8_0_0_0
goals,G_17_1_0_0_0
goat,G_2_0_0_0_0
gobar,G_9_14_0_0_0
god,G_8_0_0_0_0
godi,G_8_0_0_0_0
goes,G_1_0_0_0_0
going,G_11_13_0_0_0
gol,G_17_0_0_0_0
gola,G_17_0_0_0_0
golay,G_17_0_0_0_0
gold,G_17_8_0_0_0
golden,G_17_8_11_0_0
goli,G_17_0_0_0_0
goliya,G_17_0_0_0_0
gon,G_11_0_0_0_0
good,G_8_0_0_0_0
goodnight,G_8_11_26_2_0
google,G_13_17_0_0_0
gorey,G_14_0_0_0_0
gorgeous,G_14_13_1_0_0
gosht,G_1_2_0_0_0
gotki,G_2_7_0_0_0
government,GV_14_11_12_11
govt,GV_2_0_0_0
grab,G_14_9_0_0_0
graduate,G_14_8_2_0_0
grammar,G_14_12_14_0_0
grandfather,G_14_11_8_15_22
graph,G_14_21_0_0_0
graphics,G_14_21_1_1_0
great,G_14_2_0_0_0
greb,G_14_9_0_0_0
greban,G_14_9_11_0_0
greeb,G_14_9_0_0_0
griftar,G_14_15_2_14_0
grim,G_14_12_0_0_0
grlfrn,G_14_17_15_14_11
grm,G_14_12_0_0_0
grmi,G_14_12_0_0_0
groom,G_14_12_0_0_0
group,G_14_10_0_0_0
groups,G_14_10_1_0_0
grow,G_14_18_0_0_0
gshti,G_1_2_0_0_0
gu,G_0_0_0_0
guarantee,G_14_11_2_0_0
guess,G_1_0_0_0_0
guftugu,G_15_2_13_0_0
guide,G_8_0_0_0_0
gujranwala,G_4_14_11_18_17
gul,G_17_0_0_0_0
gulab,G_17_9_0_0_0
gulam,G_17_12_0_0_0
gulami,G_17_12_0_0_0
gulli,G_17_0_0_0_0
gulzaar,G_17_3_14_0_0
gulzar,G_17_3_14_0_0
gum,G_12_0_0_0_0
gumraah,G_12_25_0_0_0
gumrah,G_12_25_0_0_0
gumrahi,G_12_25_0_0_0
gun,G_11_0_0_0_0
guna,G_11_0_0_0_0
gunaahon,G_11_19_11_0_0
